Entity,Year,Alone,With friends,With children,With family,With partner,With coworkers
Women,27,4.113362,0.96604216,3.1829536,1.4574049,2.8161607,2.934009
Women,28,4.0957336,0.7838004,3.9433734,1.3415711,3.0027592,2.5667577
Women,29,4.147806,0.73940367,4.2260776,1.5689616,2.9166582,2.4598026
Women,30,4.103204,0.63988394,4.5551744,1.1713519,3.1226625,2.521238
Women,31,4.1442523,0.7238079,4.6066947,1.1787552,3.360267,2.389336
Women,32,3.984253,0.5784323,5.053243,1.1801739,3.3145957,2.4385142
Women,33,4.0107803,0.6475258,5.2168646,1.0500499,3.2513049,2.258757
Women,34,4.016926,0.54329365,5.4435353,1.0686177,3.5044556,2.0396483
Women,35,4.200874,0.5767545,5.1759295,1.068497,3.2052846,2.376797
Women,36,4.434836,0.46756205,5.161599,1.1179273,3.2337692,2.2004273
Women,37,4.4351373,0.5509919,5.0141716,1.1506072,3.2124066,2.2224822
Women,38,4.3036547,0.4693675,4.994141,1.0836941,3.2315588,2.3794932
Women,39,4.3838396,0.5067829,5.205211,0.9656625,3.2780516,2.3424053
Women,40,4.7236466,0.4979352,4.718132,0.8933624,3.1460454,2.1910574
Women,41,4.916734,0.63986915,4.7346935,0.8975428,3.182428,2.2740042
Women,42,5.015496,0.5526816,4.3039474,0.8785797,2.865932,2.5699286
Women,43,5.0918536,0.60252106,4.2662816,1.0049949,3.1755183,2.1666245
Women,44,5.0610557,0.534507,4.112869,1.0804904,3.020735,2.3983622
Women,45,5.447705,0.5547345,3.82078,1.0526793,2.8049245,2.1941185
Women,46,5.3760104,0.5275142,3.5085287,0.97100466,3.230381,2.2438064
Women,47,5.8209267,0.5195534,3.3312318,1.095296,2.6178496,2.2755437
Women,48,5.581192,0.46510562,2.8598924,1.026678,3.049391,2.305123
Women,49,5.6373243,0.4772924,2.5198097,1.0243319,3.1227343,2.798316
Women,50,5.82873,0.45948946,2.5443647,1.2409129,2.9720967,2.4341066
Women,51,6.0405917,0.6206445,2.2627492,1.1818079,3.0138402,2.455303
Women,52,6.1327066,0.4818948,2.1089704,1.2719667,3.11717,2.4887896
Women,53,6.310374,0.5621458,1.8794473,1.0941763,2.9723556,2.354047
Women,54,6.0898266,0.58189374,1.689669,1.1315053,2.9257936,2.5351489
Women,55,6.3681946,0.5119222,1.7739998,1.2502298,3.0283096,2.0677085
Women,56,6.261237,0.6230532,1.4789462,1.3465291,3.2243893,2.4167733
Women,57,6.695009,0.49137694,1.5980464,1.2834487,3.0613673,1.9309264
Women,58,6.837579,0.54280895,1.3433818,1.4166101,2.6828718,1.8973668
Women,59,6.8000107,0.40202895,1.287466,1.1771488,3.2283487,2.146768
Women,60,7.0268984,0.562382,1.1955141,1.2611324,3.1018934,1.8112845
Women,61,6.9694,0.4478136,1.26605,1.1434623,3.3664002,1.713642
Women,62,6.7998023,0.49442255,1.2678509,1.1603693,3.6631432,1.3692216
Women,63,7.1106844,0.49628523,1.1625196,1.1924181,3.6114132,1.2674701
Women,64,7.3576293,0.53692764,1.1464818,1.1943111,3.5912185,1.1925975
Women,65,7.4036236,0.48360947,1.0650727,1.3546569,3.7526767,0.75465524
Women,66,7.3689075,0.52278227,1.1235921,1.321424,3.9069211,0.6481434
Women,67,7.238302,0.5625011,1.0833477,1.0676186,4.07941,0.5672121
Women,68,7.7585106,0.6884425,1.0318732,1.1024305,3.5926287,0.48691806
Women,69,7.4088297,0.56922835,1.2639402,1.1375161,4.1475782,0.42365915
Women,70,7.676393,0.6368747,0.97078955,1.1037654,3.652167,0.35719275
Women,71,7.517415,0.61249673,1.1216059,1.1379032,3.986143,0.1937215
Women,72,8.289828,0.6679403,0.9471581,1.0748512,3.5457804,0.17190471
Women,73,8.2017765,0.55111283,0.93394166,0.9623003,3.614678,0.21759818
Women,74,8.100495,0.5929435,1.048766,1.1236933,3.4116874,0.20916691
Women,75,8.265583,0.5398343,1.0021981,1.015627,3.4091017,0.22594495
Women,76,7.9694676,0.66818285,0.7951481,0.8862701,3.808341,0.22185479
Women,77,8.31404,0.5080318,0.8212199,1.109988,3.3848605,0.08903564
Women,78,8.238198,0.6948098,0.87196594,1.1864529,3.3872876,0.044698056
Women,79,8.34196,0.7186625,0.77966785,1.0992647,3.0000105,0.051660817
Women,80,8.444101,0.565571,0.9296874,1.1244358,2.8532429,0.10855072
